TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Minnesota Timberwolves,Denver Nuggets,West,1,8,-2.0,-7.0,4.0,2.5,1.7999999999999972,-3.3000000000000114,-2.9000000000000057,5.8,4.7,0.02400000000000002,0.41000000000000014,1.6999999999999993,-0.03400000000000003,0.026999999999999913,0.009000000000000008,-0.023999999999999994,0.01899999999999996,0.01100000000000001,-4.599999999999994,-4.400000000000006,0.049000000000000044
Los Angeles Lakers,Houston Rockets,West,2,7,8.0,6.0,2.0,4.6000000000000085,4.5,2.299999999999997,2.299999999999997,2.2,2.1999999999999997,0.06600000000000006,0.5700000000000001,2.099999999999998,0.008000000000000007,-0.007000000000000006,-0.010000000000000009,-0.04000000000000001,-0.0030000000000000027,-0.006000000000000005,4.5,4.469999999999999,0.025000000000000022
San Antonio Spurs,Memphis Grizzlies,West,3,6,-6.0,-10.0,5.0,-2.1000000000000085,-2.4000000000000057,-7.6000000000000085,-7.700000000000003,5.499999999999999,5.300000000000001,-0.05600000000000005,-0.17000000000000015,-1.3999999999999986,-0.006000000000000005,0.05499999999999994,0.027000000000000024,0.0020000000000000018,-0.006000000000000005,-0.01100000000000001,-2.5,-2.3699999999999903,0.04399999999999993
Sacramento Kings,Dallas Mavericks,West,4,5,-2.0,-3.0,1.0,-2.299999999999997,-1.8000000000000114,-2.0999999999999943,-2.700000000000003,-0.20000000000000018,0.9000000000000004,0.10299999999999998,-0.07000000000000006,1.9000000000000021,-0.04300000000000004,-0.010000000000000009,-0.019000000000000017,0.017999999999999988,0.01200000000000001,0.018000000000000016,-0.4000000000000057,-0.37000000000000455,0.017000000000000015
Indiana Pacers,Boston Celtics,East,1,8,-4.0,-11.0,7.0,1.0,1.7999999999999972,-5.400000000000006,-6.0,6.3999999999999995,7.8,0.052000000000000046,0.24,1.1999999999999993,0.04099999999999998,0.04799999999999993,0.038000000000000034,-0.009999999999999981,-0.015000000000000013,-0.01200000000000001,-5.8999999999999915,-5.929999999999993,0.049000000000000044
New Jersey Nets,New York Knicks,East,2,7,-2.0,-5.0,4.0,-0.8999999999999915,-0.7000000000000028,-5.099999999999994,-4.8999999999999915,4.2,4.2,0.126,0.34999999999999987,2.700000000000003,-0.018000000000000016,0.010000000000000009,-0.007000000000000006,-0.008000000000000007,-0.0030000000000000027,-0.0030000000000000027,-0.19999999999998863,-0.3200000000000074,0.04500000000000004
Detroit Pistons,Milwaukee Bucks,East,3,6,-8.0,-13.0,5.0,-4.400000000000006,-4.299999999999997,-10.099999999999994,-9.599999999999994,5.699999999999999,5.4,-0.010000000000000009,-0.31999999999999984,-0.8999999999999986,0.02400000000000002,-0.0039999999999998925,0.013000000000000012,0.02400000000000002,-0.01599999999999996,-0.017000000000000015,-3.5999999999999943,-3.8599999999999994,0.04800000000000004
Miami Heat,New Orleans Hornets,East,4,5,-2.0,-2.0,1.0,0.20000000000000284,-0.10000000000000853,-0.5999999999999943,-0.29999999999999716,0.7,0.19999999999999998,-0.04600000000000004,-0.020000000000000018,-0.7999999999999989,-0.025000000000000022,0.025999999999999912,0.0020000000000000018,-0.010000000000000009,0.0030000000000000027,0.0050000000000000044,-1.2999999999999972,-1.2900000000000063,0.0050000000000000044
