TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
San Antonio Spurs,Utah Jazz,West,1,8,4.0,-3.0,6.0,4.799999999999997,4.5,-3.0,-2.6000000000000085,7.7,7.2,0.015000000000000013,0.16999999999999993,1.1999999999999993,-0.05800000000000005,0.017000000000000015,-0.01200000000000001,-0.006000000000000005,0.04700000000000004,0.03700000000000003,1.1999999999999886,1.1400000000000006,0.03700000000000003
Oklahoma City Thunder,Dallas Mavericks,West,2,7,7.0,2.0,5.0,6.099999999999994,6.300000000000011,0.29999999999999716,1.1999999999999886,5.9,5.199999999999999,-0.07799999999999996,-0.3600000000000001,-1.9000000000000004,0.035999999999999976,-0.026999999999999913,0.016000000000000014,0.022999999999999993,0.027000000000000024,0.039999999999999925,2.1000000000000085,1.5,0.03200000000000003
Los Angeles Lakers,Denver Nuggets,West,3,6,-7.0,-5.0,-2.0,-3.200000000000003,-3.799999999999997,-1.7000000000000028,-1.8999999999999915,-1.4000000000000001,-1.9000000000000001,-0.0040000000000000036,-0.07000000000000006,-0.5999999999999979,0.01100000000000001,0.014000000000000012,0.017000000000000015,0.0020000000000000018,-0.025000000000000022,-0.02200000000000002,-3.799999999999997,-3.3100000000000023,-0.0030000000000000027
Memphis Grizzlies,Los Angeles Clippers,West,4,5,-3.0,-2.0,-1.0,-4.200000000000003,-4.700000000000003,-4.0,-4.200000000000003,-0.10000000000000009,-0.5,-0.03599999999999992,-0.22999999999999998,-1.200000000000001,0.0040000000000000036,-0.0040000000000000036,0.0010000000000000009,0.010000000000000009,-0.029000000000000026,-0.018000000000000016,1.6000000000000085,1.8399999999999892,-0.0030000000000000027
Chicago Bulls,Philadelphia 76ers,East,1,8,2.0,-1.0,4.0,2.799999999999997,3.5999999999999943,-1.2999999999999972,-0.7000000000000028,4.200000000000001,4.200000000000001,0.031000000000000028,-0.32000000000000006,0.1999999999999993,0.08399999999999996,-0.009000000000000008,0.041000000000000036,0.031,0.010000000000000009,0.01200000000000001,-0.10000000000000853,-0.7000000000000028,0.029000000000000026
Miami Heat,New York Knicks,East,2,7,0.0,-2.0,3.0,2.8999999999999915,2.0999999999999943,-1.3000000000000114,-1.0,4.2,3.2,-0.02400000000000002,0.050000000000000044,0.3000000000000007,-0.010000000000000009,-0.009000000000000008,0.0010000000000000009,-0.006000000000000005,0.013000000000000012,0.016000000000000014,-2.0,-1.8400000000000034,0.03300000000000003
Indiana Pacers,Orlando Magic,East,3,6,4.0,1.0,2.0,1.0999999999999943,1.5,-1.2999999999999972,-1.3000000000000114,2.4000000000000004,2.6999999999999997,-0.05899999999999994,-0.010000000000000009,-1.4000000000000021,0.027000000000000024,-0.031000000000000028,0.0010000000000000009,-0.014000000000000012,-0.03200000000000003,-0.007000000000000006,2.200000000000003,1.9300000000000068,0.028000000000000025
Boston Celtics,Atlanta Hawks,East,4,5,-5.0,-4.0,0.0,-3.5,-4.1000000000000085,-3.0999999999999943,-2.9000000000000057,-0.3999999999999999,-1.1999999999999997,0.05500000000000005,-0.020000000000000018,1.1999999999999993,-0.03400000000000003,-0.016999999999999904,-0.015000000000000013,0.01100000000000001,-0.0040000000000000036,0.0,0.09999999999999432,0.23000000000000398,0.009000000000000008
