TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Los Angeles Lakers,Portland Trail Blazers,West,1,8,-2.0,-8.0,7.0,-1.5,-1.5,-8.0,-8.200000000000003,6.5,6.699999999999999,0.11199999999999999,0.05999999999999983,2.8000000000000007,0.01699999999999996,0.025000000000000022,0.020000000000000018,0.022999999999999993,0.009000000000000008,0.0030000000000000027,0.09999999999999432,0.030000000000001137,0.05300000000000005
LA Clippers,Dallas Mavericks,West,2,7,-1.0,-2.0,1.0,-2.6000000000000085,-2.6000000000000085,-4.200000000000003,-4.299999999999997,1.5,1.5,-0.02100000000000002,-0.31000000000000005,-0.8000000000000007,0.0030000000000000027,-0.0030000000000000027,0.006000000000000005,0.015999999999999986,-0.010000000000000009,-0.0040000000000000036,2.200000000000003,2.269999999999996,0.01100000000000001
Denver Nuggets,Utah Jazz,West,3,6,0.0,0.0,0.0,0.09999999999999432,0.7999999999999972,1.1999999999999886,1.1000000000000085,-1.1,-0.2999999999999998,0.07599999999999996,0.45999999999999996,2.3000000000000007,0.032999999999999974,-0.02100000000000002,-0.0030000000000000027,-0.012999999999999984,-0.014000000000000012,-0.018000000000000016,-1.2999999999999972,-1.5100000000000051,0.0040000000000000036
Houston Rockets,Oklahoma City Thunder,West,4,5,8.0,7.0,1.0,1.8999999999999915,2.4000000000000057,1.1000000000000085,1.7000000000000028,0.7999999999999998,0.6000000000000001,-0.013000000000000012,-0.1100000000000001,-0.8000000000000007,0.008000000000000007,-0.015000000000000013,-0.01200000000000001,0.0030000000000000027,0.007000000000000006,0.0050000000000000044,5.200000000000003,4.6200000000000045,-0.025000000000000022
Milwaukee Bucks,Orlando Magic,East,1,8,12.0,1.0,11.0,4.400000000000006,4.0,-6.5,-6.700000000000003,10.9,10.700000000000001,-0.010000000000000009,-0.15000000000000013,0.5,-0.026000000000000023,0.026000000000000023,0.02400000000000002,0.012999999999999984,0.04600000000000004,0.038999999999999924,6.299999999999997,6.52000000000001,0.06600000000000006
Toronto Raptors,Brooklyn Nets,East,2,7,1.0,-5.0,7.0,3.0,2.0999999999999943,-5.099999999999994,-4.5,8.1,6.6,0.02100000000000002,0.09999999999999987,0.8000000000000007,-0.02400000000000002,-0.015000000000000013,-0.015000000000000013,-0.0020000000000000018,0.016000000000000014,0.019999999999999907,-0.7000000000000028,-0.5100000000000051,0.030000000000000027
Boston Celtics,Philadelphia 76ers,East,3,6,3.0,-1.0,4.0,1.3000000000000114,2.0999999999999943,-1.7999999999999972,-1.9000000000000057,3.2,4.0,-0.07099999999999995,-0.16000000000000014,-1.8000000000000007,0.0019999999999999463,-0.02200000000000002,-0.007000000000000006,-0.004999999999999977,-0.0030000000000000027,0.0040000000000000036,0.6000000000000085,0.3299999999999983,0.008000000000000007
Indiana Pacers,Miami Heat,East,4,5,-3.0,-2.0,-1.0,-2.0999999999999943,-2.4000000000000057,-2.1000000000000085,-1.7999999999999972,0.10000000000000009,-0.8000000000000003,-0.04300000000000004,0.20999999999999996,0.09999999999999787,-0.014000000000000012,-0.03500000000000003,-0.025000000000000022,-0.016999999999999987,-0.013000000000000012,-0.02200000000000002,0.7999999999999972,0.7099999999999937,-0.0050000000000000044
