TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Phoenix Suns,Memphis Grizzlies,West,1,8,17.0,12.0,5.0,9.400000000000006,8.5,3.799999999999997,4.200000000000003,5.499999999999999,4.3,-0.03700000000000003,0.28,0.5,-0.0040000000000000036,-0.007000000000000006,0.0030000000000000027,-0.022999999999999993,0.04500000000000004,0.03599999999999992,7.5,7.699999999999989,0.031000000000000028
San Antonio Spurs,Denver Nuggets,West,2,7,-4.0,-10.0,6.0,1.5,1.3999999999999915,-4.900000000000006,-4.799999999999997,6.3999999999999995,6.1000000000000005,-0.039000000000000035,-0.030000000000000027,-0.8999999999999986,0.008000000000000007,0.018999999999999906,0.013000000000000012,-0.006000000000000005,0.009000000000000008,-0.0010000000000000009,-4.699999999999989,-4.720000000000013,0.03399999999999992
Dallas Mavericks,Sacramento Kings,West,3,6,-2.0,-5.0,4.0,0.0,-0.29999999999999716,-4.0,-3.9000000000000057,3.9000000000000004,3.6000000000000005,-0.09999999999999998,-0.41000000000000014,-2.8999999999999986,0.0040000000000000036,0.007000000000000006,0.009000000000000008,0.004999999999999977,-0.0040000000000000036,0.0040000000000000036,-0.4000000000000057,-0.3399999999999892,0.015000000000000013
Seattle SuperSonics,Houston Rockets,West,4,5,4.0,6.0,-2.0,4.8999999999999915,5.8999999999999915,7.199999999999989,7.900000000000006,-2.3,-2.0,-0.09299999999999997,-0.18999999999999995,-2.1999999999999993,0.055999999999999994,-0.03199999999999992,0.0050000000000000044,-0.0010000000000000009,0.009000000000000008,0.01200000000000001,-0.29999999999999716,-0.9400000000000119,-0.02300000000000002
Miami Heat,New Jersey Nets,East,1,8,11.0,2.0,9.0,9.900000000000006,9.0,-0.6000000000000085,0.6000000000000085,10.5,8.4,-0.06600000000000006,0.07000000000000006,0.0,-0.0010000000000000009,-0.0030000000000000027,0.013000000000000012,-0.008000000000000007,0.061,0.04700000000000004,1.3999999999999915,1.3200000000000074,0.06600000000000006
Detroit Pistons,Philadelphia 76ers,East,2,7,-6.0,-11.0,5.0,2.0,2.1000000000000085,-3.5999999999999943,-2.9000000000000057,5.5,5.0,0.04700000000000004,0.24,1.299999999999999,0.059,-0.010000000000000009,0.027000000000000024,-0.006000000000000005,-0.0030000000000000027,-0.009000000000000008,-7.700000000000003,-7.969999999999999,0.049000000000000044
Chicago Bulls,Indiana Pacers,East,3,6,1.0,1.0,0.0,-3.9000000000000057,-3.200000000000003,-4.400000000000006,-3.6000000000000085,0.5,0.3999999999999999,0.05399999999999994,0.0,1.299999999999999,0.02100000000000002,0.0039999999999998925,0.01200000000000001,0.017999999999999988,-0.0050000000000000044,-0.017000000000000015,5.5,4.700000000000003,-0.006000000000000005
Boston Celtics,Washington Wizards,East,4,5,0.0,-1.0,1.0,0.7999999999999972,0.5,-0.9000000000000057,-0.8000000000000114,1.7,1.2000000000000002,0.06699999999999995,0.06999999999999984,2.299999999999999,-0.03300000000000003,0.0040000000000000036,-0.0030000000000000027,0.015000000000000013,0.027000000000000024,0.028000000000000025,-0.29999999999999716,-0.18999999999999773,0.020000000000000018
