TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Oklahoma City Thunder,New Orleans Pelicans,West,1,8,5.0,2.0,3.0,2.0,1.7999999999999972,-1.0,-0.9000000000000057,2.9000000000000004,2.7,-0.025000000000000022,0.07000000000000028,0.0,-0.028000000000000025,-0.027000000000000024,-0.02100000000000002,-0.007000000000000006,0.014999999999999902,0.017000000000000015,2.0999999999999943,2.1499999999999915,0.014000000000000012
Denver Nuggets,Los Angeles Lakers,West,2,7,-3.0,-7.0,4.0,2.0,2.3999999999999915,-2.200000000000003,-2.5,4.1,4.9,0.015000000000000013,0.29000000000000004,0.7999999999999972,0.055999999999999994,-0.007000000000000006,0.019000000000000017,-0.007000000000000006,-0.0039999999999998925,-0.01200000000000001,-4.0,-3.9499999999999886,0.015000000000000013
Minnesota Timberwolves,Phoenix Suns,West,3,6,-3.0,-6.0,3.0,-1.8000000000000114,-2.200000000000003,-5.299999999999997,-5.299999999999997,3.5000000000000004,3.1999999999999997,0.009000000000000008,0.05999999999999983,-0.09999999999999787,-0.01699999999999996,0.01100000000000001,-0.006000000000000005,-0.006000000000000005,-0.005999999999999894,-0.009000000000000008,-1.2999999999999972,-1.2099999999999937,0.016000000000000014
LA Clippers,Dallas Mavericks,West,4,5,-2.0,-4.0,1.0,0.8999999999999915,0.9000000000000057,-0.29999999999999716,-0.30000000000001137,1.2999999999999998,1.2999999999999998,0.008000000000000007,-0.09999999999999987,0.1999999999999993,0.025999999999999968,-0.006000000000000005,0.017000000000000015,0.010000000000000009,-0.0010000000000000009,0.007000000000000006,-2.700000000000003,-2.6699999999999875,0.014000000000000012
Boston Celtics,Miami Heat,East,1,8,11.0,1.0,9.0,8.5,8.900000000000006,-0.5,-0.9000000000000057,9.0,9.899999999999999,-0.03500000000000003,0.20999999999999996,0.1999999999999993,0.025999999999999968,-0.008000000000000007,0.017000000000000015,-0.009000000000000008,0.039999999999999925,0.031000000000000028,1.0,1.1000000000000085,0.04600000000000004
New York Knicks,Philadelphia 76ers,East,2,7,-2.0,-4.0,2.0,0.29999999999999716,1.0999999999999943,0.20000000000000284,-0.5999999999999943,0.10000000000000009,1.8000000000000003,-0.010000000000000009,-0.22999999999999976,-0.1999999999999993,0.041000000000000036,0.028000000000000025,0.03400000000000003,0.016000000000000014,0.008000000000000007,0.0,-2.299999999999997,-2.210000000000008,0.009000000000000008
Milwaukee Bucks,Indiana Pacers,East,3,6,-4.0,-4.0,0.0,-1.9000000000000057,-2.9000000000000057,-2.700000000000003,-2.5999999999999943,0.7000000000000002,-0.2999999999999998,-0.039000000000000035,-0.33000000000000007,-2.0,-0.02899999999999997,0.031000000000000028,0.007000000000000006,0.0020000000000000018,-0.010000000000000009,-0.0050000000000000044,-2.0,-1.6499999999999915,-0.006000000000000005
Cleveland Cavaliers,Orlando Magic,East,4,5,3.0,2.0,0.0,2.200000000000003,1.7999999999999972,1.3000000000000114,1.2999999999999972,0.8999999999999999,0.2999999999999998,0.061000000000000054,0.3899999999999999,2.099999999999998,-0.022999999999999965,-0.016000000000000014,-0.014000000000000012,-0.011999999999999983,0.016000000000000014,0.009000000000000008,0.09999999999999432,0.25,0.006000000000000005
