TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Los Angeles Lakers,Denver Nuggets,West,1,8,-2.0,-6.0,3.0,2.700000000000003,2.799999999999997,-0.4000000000000057,-1.2000000000000028,3.0,3.9,0.0050000000000000044,0.050000000000000044,0.40000000000000213,0.0050000000000000044,0.015999999999999903,0.013000000000000012,0.0010000000000000009,0.015000000000000013,0.0129999999999999,-4.299999999999997,-3.8799999999999955,0.02200000000000002
New Orleans Hornets,Dallas Mavericks,West,2,7,1.0,0.0,0.0,0.4000000000000057,0.5,-0.19999999999998863,-0.29999999999999716,0.7999999999999998,0.7999999999999998,-0.0050000000000000044,0.17000000000000015,0.5,0.0,0.0010000000000000009,-0.008000000000000007,-0.008000000000000007,0.010000000000000009,-0.006000000000000005,-0.4000000000000057,-0.3399999999999892,-0.010000000000000009
San Antonio Spurs,Phoenix Suns,West,3,6,-15.0,-14.0,0.0,-6.5,-6.0,-5.400000000000006,-6.299999999999997,-1.0999999999999996,0.2999999999999998,-0.06000000000000005,-0.19000000000000017,-2.599999999999998,0.015000000000000013,0.05899999999999994,0.02200000000000002,-0.0069999999999999785,-0.04700000000000004,-0.04699999999999993,-8.200000000000003,-8.0,-0.02300000000000002
Utah Jazz,Houston Rockets,West,4,5,9.0,7.0,2.0,6.8999999999999915,6.699999999999989,5.200000000000003,4.400000000000006,1.7999999999999998,2.4000000000000004,0.07500000000000007,0.24,2.8000000000000007,0.0040000000000000036,-0.0010000000000000009,0.0020000000000000018,0.0040000000000000036,0.03600000000000003,0.04499999999999993,2.6999999999999886,3.219999999999999,0.02100000000000002
Boston Celtics,Atlanta Hawks,East,1,8,3.0,-10.0,12.0,3.5999999999999943,3.299999999999997,-9.700000000000003,-9.200000000000003,13.5,12.600000000000001,0.008000000000000007,-0.010000000000000009,0.6000000000000014,-0.02300000000000002,0.02499999999999991,0.01200000000000001,0.0040000000000000036,0.039000000000000035,0.03399999999999992,-0.29999999999999716,-0.46999999999999886,0.08299999999999996
Detroit Pistons,Philadelphia 76ers,East,2,7,0.0,-6.0,7.0,5.0,4.700000000000003,-3.4000000000000057,-3.200000000000003,8.4,7.800000000000001,0.06399999999999995,0.49,1.9000000000000004,-0.023999999999999966,0.01200000000000001,-0.0020000000000000018,-0.024999999999999994,0.013000000000000012,0.017000000000000015,-3.1999999999999886,-3.019999999999996,0.052000000000000046
Orlando Magic,Toronto Raptors,East,3,6,4.0,2.0,2.0,1.2999999999999972,1.5,-1.5999999999999943,-0.6999999999999886,2.8,2.3,-0.061999999999999944,-0.5900000000000001,-2.3000000000000007,0.0050000000000000044,0.0,0.01200000000000001,0.023999999999999994,0.026000000000000023,0.02399999999999991,3.1999999999999886,2.6700000000000017,0.010000000000000009
Cleveland Cavaliers,Washington Wizards,East,4,5,-3.0,-2.0,0.0,-2.799999999999997,-2.799999999999997,-3.0999999999999943,-2.5,0.30000000000000004,-0.3,0.020000000000000018,-0.06000000000000005,0.09999999999999964,0.014000000000000012,0.020000000000000018,0.015000000000000013,0.008000000000000007,-0.009000000000000008,-0.015000000000000013,0.5,0.21000000000000796,0.0020000000000000018
