TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Sacramento Kings,Utah Jazz,West,1,8,9.0,2.0,7.0,4.0,4.1000000000000085,-3.0,-3.200000000000003,6.9,7.199999999999999,-0.09699999999999998,0.26,-0.6999999999999993,-0.055999999999999994,0.006999999999999895,-0.019000000000000017,-0.036000000000000004,0.025000000000000022,0.010000000000000009,5.0,4.989999999999995,0.02200000000000002
San Antonio Spurs,Seattle SuperSonics,West,2,7,-1.0,-4.0,3.0,-1.7999999999999972,-1.8999999999999915,-6.0,-5.599999999999994,4.1,3.6000000000000005,-0.051000000000000045,-0.32000000000000006,-2.3000000000000007,-0.019000000000000017,0.029000000000000026,0.01100000000000001,0.006000000000000005,-0.013000000000000012,-0.0010000000000000009,0.8999999999999915,0.710000000000008,0.03200000000000003
Los Angeles Lakers,Portland Trail Blazers,West,3,6,4.0,0.0,4.0,2.0999999999999943,2.0999999999999943,-2.299999999999997,-2.1999999999999886,4.4,4.3,-0.04400000000000004,0.17000000000000015,-0.5,-0.033999999999999975,-0.016999999999999904,-0.02100000000000002,-0.021999999999999992,0.013000000000000012,0.006000000000000005,2.799999999999997,2.769999999999996,0.031000000000000028
Dallas Mavericks,Minnesota Timberwolves,West,4,5,6.0,5.0,1.0,3.700000000000003,2.799999999999997,2.5999999999999943,1.9000000000000057,1.1,0.8999999999999999,-0.062000000000000055,0.010000000000000009,-1.5,-0.05800000000000005,-0.019999999999999907,-0.03700000000000003,-0.017999999999999988,0.017000000000000015,0.02100000000000002,2.0,2.6400000000000006,-0.01200000000000001
New Jersey Nets,Indiana Pacers,East,1,8,-1.0,-5.0,4.0,-0.10000000000000853,-0.3999999999999915,-4.5,-4.300000000000011,4.4,3.9,0.01200000000000001,0.15999999999999992,0.5999999999999979,0.020000000000000018,-0.0030000000000000027,0.0040000000000000036,-0.008000000000000007,-0.0010000000000000009,-0.01200000000000001,0.0,0.07000000000000739,0.027000000000000024
Detroit Pistons,Toronto Raptors,East,2,7,3.0,0.0,2.0,3.0999999999999943,2.1000000000000085,-0.7000000000000028,-0.7999999999999972,3.9,2.9,0.01100000000000001,-0.040000000000000036,0.40000000000000213,-0.066,0.0050000000000000044,-0.02200000000000002,0.0010000000000000009,0.033999999999999975,0.039000000000000035,0.8000000000000114,1.3599999999999994,0.027000000000000024
Boston Celtics,Philadelphia 76ers,East,3,6,5.0,5.0,0.0,2.0,1.5999999999999943,0.5,1.2000000000000028,1.5,0.40000000000000013,0.020000000000000018,0.25,0.5999999999999979,-0.069,-0.007000000000000006,-0.04200000000000004,-0.025000000000000022,0.023999999999999966,0.013000000000000012,3.5,3.280000000000001,-0.020000000000000018
Charlotte Hornets,Orlando Magic,East,4,5,-7.0,-6.0,-1.0,-2.6999999999999886,-2.6999999999999886,-2.5,-2.299999999999997,-0.20000000000000018,-0.30000000000000004,0.02400000000000002,-0.08000000000000007,-0.10000000000000142,0.041000000000000036,0.02399999999999991,0.03400000000000003,0.01100000000000001,-0.02699999999999997,-0.020000000000000018,-3.299999999999997,-3.469999999999999,0.016000000000000014
