TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Utah Jazz,Memphis Grizzlies,West,1,8,3.0,-5.0,8.0,5.3999999999999915,4.799999999999997,-2.799999999999997,-3.0,8.200000000000001,7.8,-0.05500000000000005,-0.3699999999999999,-1.5999999999999979,-0.0010000000000000009,0.02100000000000002,0.02200000000000002,0.010999999999999982,0.03499999999999992,0.03699999999999992,-1.7999999999999972,-1.3999999999999915,0.031000000000000028
Phoenix Suns,Los Angeles Lakers,West,2,7,5.0,2.0,3.0,7.400000000000006,6.5,4.0,3.6000000000000085,3.3999999999999995,3.0000000000000004,0.015000000000000013,0.5299999999999998,1.6000000000000014,-0.02100000000000002,-0.007000000000000006,-0.01100000000000001,-0.025999999999999995,0.027999999999999914,0.028000000000000025,-1.5,-0.8499999999999943,0.017000000000000015
Denver Nuggets,Portland Trail Blazers,West,3,6,-1.0,-4.0,3.0,-0.7000000000000028,-0.7999999999999972,-3.4000000000000057,-3.799999999999997,2.7,3.0,0.10599999999999998,0.07000000000000006,3.4000000000000004,0.01899999999999996,0.020000000000000018,0.027000000000000024,0.024000000000000007,0.017000000000000015,0.01100000000000001,-1.5,-1.230000000000004,0.03200000000000003
LA Clippers,Dallas Mavericks,West,4,5,2.0,-2.0,4.0,2.299999999999997,2.1000000000000085,-1.7000000000000028,-1.7000000000000028,4.1,3.8,0.026999999999999913,-0.04999999999999982,0.9000000000000021,0.017000000000000015,0.020000000000000018,0.02200000000000002,0.01200000000000001,0.013999999999999901,0.017000000000000015,-0.4000000000000057,-0.3100000000000023,0.020000000000000018
Philadelphia 76ers,Washington Wizards,East,1,8,-3.0,-10.0,8.0,1.8999999999999915,1.7999999999999972,-5.400000000000006,-5.299999999999997,7.4,7.1,-0.018000000000000016,-0.13000000000000012,-0.6000000000000014,0.027000000000000024,0.0010000000000000009,0.017000000000000015,0.005999999999999978,0.010000000000000009,0.010000000000000009,-4.6000000000000085,-4.549999999999997,0.040000000000000036
Brooklyn Nets,Boston Celtics,East,2,7,6.0,3.0,4.0,5.299999999999997,4.200000000000003,0.5999999999999943,1.2999999999999972,4.8,3.0,0.05500000000000005,0.31000000000000005,2.1999999999999993,-0.03699999999999998,-0.01100000000000001,-0.007000000000000006,-0.0069999999999999785,0.03199999999999992,0.03600000000000003,1.0999999999999943,1.3299999999999983,0.031000000000000028
Milwaukee Bucks,Miami Heat,East,3,6,12.0,6.0,6.0,5.6000000000000085,5.900000000000006,0.5999999999999943,0.0,4.9,5.8999999999999995,-0.10200000000000009,-0.030000000000000027,-1.5,0.029000000000000026,0.02200000000000002,0.028000000000000025,-0.009999999999999981,0.019999999999999907,0.01200000000000001,5.700000000000003,5.759999999999991,0.02400000000000002
New York Knicks,Atlanta Hawks,East,4,5,-7.0,-6.0,0.0,-4.799999999999997,-4.099999999999994,-4.8999999999999915,-4.299999999999997,0.0,0.19999999999999973,-0.04799999999999993,-0.17000000000000015,-1.3000000000000007,-0.019999999999999962,-0.0040000000000000036,-0.01100000000000001,0.0,-0.015000000000000013,-0.02199999999999991,-1.7000000000000028,-2.3600000000000136,-0.009000000000000008
