TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Golden State Warriors,Houston Rockets,West,1,8,8.0,-2.0,11.0,7.0,6.200000000000003,-4.699999999999989,-4.5,11.799999999999999,10.6,0.09100000000000008,0.52,4.0,-0.02999999999999997,0.028000000000000025,0.015000000000000013,-0.01100000000000001,0.04699999999999993,0.039999999999999925,1.5,1.8199999999999932,0.07699999999999996
San Antonio Spurs,Memphis Grizzlies,West,2,7,5.0,-8.0,13.0,5.800000000000011,4.599999999999994,-8.800000000000011,-8.899999999999991,14.700000000000001,13.5,0.04899999999999993,0.31999999999999984,2.8000000000000007,-0.03199999999999997,0.03700000000000003,0.02100000000000002,-0.0020000000000000018,0.049000000000000044,0.039999999999999925,0.0,0.5900000000000034,0.09499999999999997
Oklahoma City Thunder,Dallas Mavericks,West,3,6,8.0,0.0,7.0,5.1000000000000085,6.599999999999994,-1.2999999999999972,-1.1000000000000085,6.300000000000001,7.800000000000001,-0.03399999999999992,-0.29000000000000004,-0.3000000000000007,0.10599999999999998,-0.0030000000000000027,0.05700000000000005,0.03,0.02200000000000002,0.020999999999999908,3.0,2.200000000000003,0.04300000000000004
LA Clippers,Portland Trail Blazers,West,4,5,0.0,-4.0,3.0,0.4000000000000057,-0.3999999999999915,-4.699999999999989,-4.099999999999994,4.9,3.7,0.04399999999999993,0.30000000000000004,1.3999999999999986,-0.05999999999999997,-0.031000000000000028,-0.038000000000000034,-0.016999999999999987,0.013000000000000012,0.008000000000000007,-0.29999999999999716,-0.25,0.040000000000000036
Cleveland Cavaliers,Detroit Pistons,East,1,8,2.0,-3.0,5.0,4.799999999999997,4.900000000000006,-1.1000000000000085,-1.0,6.0,6.0,0.07499999999999996,0.22999999999999998,2.599999999999998,-0.019000000000000017,-0.01100000000000001,-0.0020000000000000018,0.002999999999999975,0.03300000000000003,0.03600000000000003,-1.9000000000000057,-1.9300000000000068,0.04200000000000004
Toronto Raptors,Indiana Pacers,East,2,7,1.0,-2.0,3.0,4.599999999999994,5.5,2.5,2.5999999999999943,2.0999999999999996,2.8000000000000003,-0.04300000000000004,0.0,-1.200000000000001,0.02899999999999997,0.02200000000000002,0.026000000000000023,-0.011999999999999983,0.007000000000000006,0.016000000000000014,-3.700000000000003,-4.0,0.007000000000000006
Miami Heat,Charlotte Hornets,East,3,6,-3.0,-3.0,-1.0,-0.8999999999999915,-0.9000000000000057,-0.29999999999999716,0.0,-0.6999999999999997,-1.0000000000000002,-0.04299999999999993,-0.25,-0.3999999999999986,0.03600000000000003,-0.025000000000000022,0.013000000000000012,0.01899999999999999,0.006000000000000005,0.0,-2.0999999999999943,-2.0999999999999943,0.014000000000000012
Atlanta Hawks,Boston Celtics,East,4,5,-3.0,-4.0,1.0,-0.9000000000000057,-1.2000000000000028,-2.1000000000000085,-1.7000000000000028,1.0999999999999996,0.6000000000000001,0.04700000000000004,-0.050000000000000044,1.6000000000000014,-0.055999999999999966,-0.009000000000000008,-0.02100000000000002,0.013999999999999985,0.028000000000000025,0.02100000000000002,-1.6999999999999886,-1.8000000000000114,0.008000000000000007
