TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
San Antonio Spurs,Phoenix Suns,West,1,8,0.0,-4.0,4.0,2.3999999999999915,1.3000000000000114,-2.8000000000000114,-3.200000000000003,5.3,4.5,-0.009000000000000008,-0.15999999999999992,-0.29999999999999893,-0.01200000000000001,0.015000000000000013,0.01200000000000001,0.013000000000000012,0.02400000000000002,0.027000000000000024,-1.7999999999999972,-1.1300000000000097,0.051000000000000045
Sacramento Kings,Utah Jazz,West,2,7,7.0,3.0,5.0,0.6999999999999886,0.7000000000000028,-3.5,-3.299999999999997,4.1,3.9999999999999996,-0.09999999999999998,0.17999999999999994,-1.1999999999999993,-0.064,0.0050000000000000044,-0.026000000000000023,-0.035,0.013000000000000012,-0.0020000000000000018,6.0,5.849999999999994,0.0
Dallas Mavericks,Portland Trail Blazers,West,3,6,8.0,2.0,5.0,5.6000000000000085,5.099999999999994,-0.09999999999999432,-0.5,5.700000000000001,5.6000000000000005,-0.04200000000000004,0.44999999999999996,-0.3999999999999986,-0.061,-0.0119999999999999,-0.03700000000000003,-0.04400000000000001,0.009000000000000008,0.01200000000000001,2.9000000000000057,3.3100000000000023,0.031000000000000028
Minnesota Timberwolves,Los Angeles Lakers,West,4,5,-2.0,-2.0,0.0,-0.5999999999999943,-0.7999999999999972,-1.2000000000000028,-0.9000000000000057,0.6000000000000001,0.0,0.03500000000000003,0.24,1.6000000000000014,-0.018000000000000016,0.0020000000000000018,-0.0010000000000000009,-0.007000000000000006,0.0020000000000000018,0.0,-0.6000000000000085,-0.7000000000000028,0.009000000000000008
Detroit Pistons,Orlando Magic,East,1,8,-8.0,-10.0,4.0,-0.8999999999999915,-1.2999999999999972,-4.6000000000000085,-5.5,3.8000000000000003,4.2,0.031000000000000028,0.050000000000000044,0.3999999999999986,-0.006000000000000005,0.026999999999999913,0.014000000000000012,0.0,-0.0050000000000000044,-0.0030000000000000027,-6.700000000000003,-6.069999999999993,0.04300000000000004
New Jersey Nets,Milwaukee Bucks,East,2,7,-5.0,-9.0,5.0,-5.6000000000000085,-5.1000000000000085,-9.799999999999997,-10.300000000000011,4.1,5.1000000000000005,0.050000000000000044,-0.18999999999999995,0.20000000000000284,0.030000000000000027,0.03599999999999992,0.03300000000000003,0.02099999999999999,-0.03199999999999997,-0.025000000000000022,1.2999999999999972,1.2399999999999949,0.049000000000000044
Indiana Pacers,Boston Celtics,East,3,6,4.0,0.0,4.0,2.6999999999999886,3.200000000000003,-0.5999999999999943,-0.9000000000000057,3.3000000000000003,4.1,0.07300000000000006,0.20999999999999996,2.1999999999999993,0.05199999999999999,0.0030000000000000027,0.03500000000000003,0.006000000000000005,-0.0010000000000000009,0.008000000000000007,0.7999999999999972,0.7599999999999909,0.05800000000000005
Philadelphia 76ers,New Orleans Hornets,East,4,5,3.0,3.0,0.0,1.2000000000000028,0.7999999999999972,1.5999999999999943,0.5999999999999943,-0.4999999999999998,0.20000000000000018,-0.025000000000000022,-0.030000000000000027,-0.5,-0.020999999999999963,0.007000000000000006,-0.009000000000000008,-0.0030000000000000027,0.0010000000000000009,0.009000000000000008,1.7000000000000028,2.3499999999999943,-0.0010000000000000009
