TEAM_NAME_HIGHER,TEAM_NAME_LOWER,CONFERENCE,SEED_HIGHER,SEED_LOWER,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF
Utah Jazz,Los Angeles Clippers,West,1,8,6.0,-6.0,11.0,8.700000000000003,8.900000000000006,-3.3000000000000114,-3.6000000000000085,12.1,12.600000000000001,0.1459999999999999,0.48,4.799999999999999,-0.01100000000000001,0.03300000000000003,0.026000000000000023,-0.0030000000000000027,0.049000000000000044,0.05699999999999994,-1.5999999999999943,-1.5500000000000114,0.11499999999999999
Seattle SuperSonics,Phoenix Suns,West,2,7,-2.0,-9.0,7.0,1.5,1.5999999999999943,-6.0,-6.099999999999994,7.499999999999999,7.6,-0.014000000000000012,-0.17999999999999994,-0.7999999999999972,0.04400000000000004,-0.006000000000000005,0.018000000000000016,0.01200000000000001,0.0020000000000000018,0.0050000000000000044,-2.8999999999999915,-2.779999999999987,0.05300000000000005
Houston Rockets,Minnesota Timberwolves,West,3,6,5.0,-2.0,7.0,3.200000000000003,3.5999999999999943,-2.299999999999997,-2.700000000000003,5.5,6.4,0.025000000000000022,-0.040000000000000036,1.0,-0.0050000000000000044,0.04299999999999993,0.026000000000000023,0.013999999999999985,0.03500000000000003,0.027000000000000024,0.6999999999999886,0.6899999999999977,0.03500000000000003
Los Angeles Lakers,Portland Trail Blazers,West,4,5,1.0,1.0,0.0,0.6000000000000085,0.10000000000000853,0.29999999999999716,0.20000000000000284,0.20000000000000018,0.0,0.041000000000000036,0.25,0.8999999999999986,-0.014999999999999958,-0.03299999999999992,-0.026000000000000023,-0.01899999999999999,-0.007000000000000006,-0.009000000000000008,0.09999999999999432,0.4399999999999977,0.0030000000000000027
Chicago Bulls,Washington Bullets,East,1,8,4.0,-6.0,9.0,7.0,7.200000000000003,-2.799999999999997,-3.0,9.9,10.3,0.05500000000000005,0.43999999999999995,1.6999999999999993,0.04799999999999999,-0.006000000000000005,0.02100000000000002,-0.020000000000000018,0.006000000000000005,0.007000000000000006,-2.0999999999999943,-2.019999999999996,0.06099999999999994
Miami Heat,Orlando Magic,East,2,7,1.0,-6.0,6.0,1.7000000000000028,1.4000000000000057,-5.3999999999999915,-5.0,7.1,6.5,0.020000000000000018,-0.020000000000000018,0.5999999999999979,-0.01200000000000001,0.027000000000000024,0.014000000000000012,0.00899999999999998,0.026000000000000023,0.02200000000000002,-0.30000000000001137,-0.3399999999999892,0.050000000000000044
New York Knicks,Charlotte Hornets,East,3,6,-4.0,-5.0,1.0,-5.799999999999997,-6.199999999999989,-8.0,-7.599999999999994,2.1999999999999997,1.2999999999999998,-0.04800000000000004,-0.43999999999999995,-2.0,0.007000000000000006,0.038999999999999924,0.02400000000000002,0.03,-0.017000000000000015,-0.016000000000000014,1.9000000000000057,1.7999999999999972,0.009000000000000008
Atlanta Hawks,Detroit Pistons,East,4,5,1.0,0.0,0.0,-2.5,-2.0999999999999943,-2.3999999999999915,-2.299999999999997,-0.09999999999999964,0.2999999999999998,0.0040000000000000036,-0.21999999999999997,-0.6000000000000014,0.03200000000000003,-0.0050000000000000044,0.013000000000000012,0.02200000000000002,-0.014000000000000012,-0.01200000000000001,2.6999999999999886,2.450000000000003,0.009000000000000008
